Release.Date,Movie,Production.Budget,Domestic.Gross,Worldwide.Gross,Rate,Raters,Genres,imdbUrl,Directed.by,Produced.by,Written.by,Starring,Music.by,Cinematography,Edited.by,Production.company,Distributed.by,Release.date,Running.time,Country,Language,Budget,Box.office,wikiUrl,image,Screenplay.by,Story.by,Based.on,Production.companies
3/7/2008,"10,000 B.C.","$105,000,000","$94,784,201","$269,065,678",5.1,"114,408",Action Adventure Drama Fantasy History,http://www.imdb.com/title/tt0443649/,Roland Emmerich,"Roland EmmerichMark Gordon
Michael Wimer",Roland EmmerichHarald Kloser,"Steven StraitCamilla BelleCliff Curtis
Joel Virgel
Nathanael BaringAffif Ben BadraMarco KhanTim Barlow",Harald KloserThomas Wander,Ueli Steiger,Alexander Berner,Legendary PicturesCentropolis Entertainment,Warner Bros. Pictures,"March 7, 2008 (2008-03-07)",109 minutes,United States,English,$105 million,$269.8 million,"https://en.wikipedia.org/wiki/10,000_BC_(film)",//upload.wikimedia.org/wikipedia/en/thumb/b/bf/Ten_thousand_b_c.jpg/220px-Ten_thousand_b_c.jpg,NA,NA,NA,NA
11/22/2000,102 Dalmatians,"$85,000,000","$66,941,559","$66,941,559",4.9,"28,686",Adventure Comedy Family,http://www.imdb.com/title/tt0211181/,Kevin Lima,Edward S. Feldman,NA,"Glenn Close
Ioan Gruffudd
Alice Evans
Tim McInnerny
Gérard Depardieu",David Newman,Adrian Biddle,Gregory Perler,Walt Disney Pictures,Buena Vista Pictures,"November 22, 2000 (November 22, 2000)",100 minutes,United States,English,$85 million,$183.6 million[1],https://en.wikipedia.org/wiki/102_Dalmatians,//upload.wikimedia.org/wikipedia/en/thumb/f/fe/102_dalmatians_poster.jpg/220px-102_dalmatians_poster.jpg,"Kristen BuckleyBrian Regan
Bob Tzudiker
Noni White","Kristen Buckley
Brian Regan","The Hundred and One Dalmatians
by Dodie Smith",NA
6/6/2003,2 Fast 2 Furious,"$76,000,000","$127,120,058","$236,410,607",5.9,"212,305",Action Crime Thriller,http://www.imdb.com/title/tt0322259/,John Singleton,Neal H. Moritz,NA,"Paul Walker
Tyrese Gibson
Chris ""Ludacris"" Bridges
Eva Mendes
Cole Hauser",David Arnold,Matthew F. Leonetti,"Bruce Cannon
Dallas Puett","Mikona Productions GmbH & Co. KG
Original Film",Universal Pictures,"June 6, 2003 (2003-06-06)",103 minutes[1],United States,English,$76 million[2],$236.3 million[2],https://en.wikipedia.org/wiki/2_Fast_2_Furious,//upload.wikimedia.org/wikipedia/en/thumb/9/9d/Two_fast_two_furious_ver5.jpg/220px-Two_fast_two_furious_ver5.jpg,"Michael Brandt
Derek Haas","Gary Scott Thompson
Michael Brandt
Derek Haas","Characters
by Gary Scott Thompson",NA
11/13/2009,2012,"$200,000,000","$166,112,167","$788,408,539",5.8,"305,094",Action Adventure Sci-Fi,http://www.imdb.com/title/tt1190080/,Roland Emmerich,Harald KloserMark GordonLarry J. Franco,"Harald Kloser
Roland Emmerich","John Cusack
Chiwetel Ejiofor
Amanda Peet
Oliver Platt
Thandie Newton
Danny Glover
Woody Harrelson",Harald KloserThomas Wander,Dean Semler,"David Brenner
Peter Elliott",Centropolis Entertainment,Columbia Pictures,"November 13, 2009 (2009-11-13)",158 minutes,United States[1],English,$200 million[2],$769.7 million[3],https://en.wikipedia.org/wiki/2012_(film),//upload.wikimedia.org/wikipedia/en/thumb/d/dd/2012_Poster.jpg/220px-2012_Poster.jpg,NA,NA,NA,NA
3/7/2014,300: Rise of an Empire,"$110,000,000","$106,580,051","$330,780,051",6.2,"244,120",Action Fantasy,http://www.imdb.com/title/tt1253863/,Noam Murro,"Mark Canton
Bernie Goldmann
Gianni Nunnari
Deborah Snyder
Thomas Tull
Zack Snyder",NA,"Sullivan Stapleton
Eva Green
Lena Headey
Hans Matheson
David Wenham
Rodrigo Santoro",Junkie XL[3],Simon Duggan,"Wyatt Smith
David Brenner",NA,Warner Bros. Pictures,"March 4, 2014 (2014-03-04) (TCL Chinese Theatre)[4]
March 7, 2014 (2014-03-07) (United States)",102 minutes[5],United States,English,$110 million[6],$337.6 million[6],https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire,//upload.wikimedia.org/wikipedia/en/thumb/9/91/300_Rise_of_an_Empire.jpg/220px-300_Rise_of_an_Empire.jpg,"Kurt Johnstad
Zack Snyder",NA,"Xerxes (unpublished)[1][2]
by Frank Miller","Legendary Pictures
Cruel and Unusual Films
Atmosphere Pictures
Hollywood Gang Productions"
12/25/2013,47 Ronin,"$175,000,000","$38,362,475","$151,716,815",6.3,"126,284",Action Adventure Drama Fantasy,http://www.imdb.com/title/tt1335975/,Carl Rinsch,"Pamela Abdy
Eric McLeod",NA,Keanu ReevesHiroyuki SanadaRinko KikuchiMin Tanaka,Ilan Eshkeri,John Mathieson,Stuart Baird,"H2F Entertainment
Mid Atlantic FilmsMoving Picture Company
Stuber Productions",Universal PicturesRelativity Media,"December 6, 2013 (2013-12-06) (Japan)
December 25, 2013 (2013-12-25) (United States)",127 minutes,United States,English,$175 million[1],$151.8 million[1],https://en.wikipedia.org/wiki/47_Ronin_(2013_film),//upload.wikimedia.org/wikipedia/en/thumb/6/6a/47Ronin2012Poster.jpg/220px-47Ronin2012Poster.jpg,Chris MorganHossein Amini,"Chris Morgan
Walter Hamada",NA,NA
2/13/2004,50 First Dates,"$75,000,000","$120,776,832","$196,320,329",6.8,"284,770",Comedy Romance,http://www.imdb.com/title/tt0343660/,Peter Segal,Jack GiarraputoSteve GolinNancy Juvonen,George Wing,Adam SandlerDrew BarrymoreRob SchneiderSean AstinDan Aykroyd,Teddy Castellucci,Jack N. Green,Jeff Gourson,Happy MadisonAnonymous ContentFlower Films,Columbia Pictures,"February 13, 2004 (2004-02-13)",99 minutes,United States,English,$75 million[1],$196.3 million[1],https://en.wikipedia.org/wiki/50_First_Dates,//upload.wikimedia.org/wikipedia/en/thumb/9/9d/50FirstDates.jpg/215px-50FirstDates.jpg,NA,NA,NA,NA
12/21/2001,A Beautiful Mind,"$78,000,000","$170,708,996","$317,668,058",8.2,"685,872",Biography Drama,http://www.imdb.com/title/tt0268978/,Ron Howard,"Brian Grazer
Ron Howard",NA,"Russell Crowe
Ed Harris
Jennifer Connelly
Paul Bettany
Adam Goldberg
Judd Hirsch
Josh Lucas
Anthony Rapp
Christopher Plummer",James Horner,Roger Deakins,"Daniel P. Hanley
Mike Hill",Imagine Entertainment,"Universal Pictures(North America)
DreamWorks Pictures(International)","December 13, 2001 (2001-12-13) (Beverly Hills premiere)
December 21, 2001 (2001-12-21) (United States)",135 minutes,United States,English,$58 million[1],$313 million[1],https://en.wikipedia.org/wiki/A_Beautiful_Mind_%28film%29,//upload.wikimedia.org/wikipedia/en/thumb/b/b8/A_Beautiful_Mind_Poster.jpg/220px-A_Beautiful_Mind_Poster.jpg,Akiva Goldsman,NA,"A Beautiful Mind
by Sylvia Nasar",NA
2/14/2013,A Good Day to Die Hard,"$92,000,000","$67,349,198","$304,249,198",5.3,"176,436",Action Thriller,http://www.imdb.com/title/tt1606378/,John Moore,"Alex Young
Wyck Godfrey",NA,"Bruce Willis
Jai Courtney
Sebastian Koch
Rasha Bukvić
Cole Hauser
Yuliya Snigir",Marco Beltrami,Jonathan Sela,Dan Zimmerman,"Giant Pictures
TSG Entertainment",20th Century Fox,"January 31, 2013 (2013-01-31) (Leicester Square)
February 14, 2013 (2013-02-14) (United States)",97 minutes[1],United States,"English
Russian",$92 million[1],$304.7 million[1],https://en.wikipedia.org/wiki/Die_Hard_5,//upload.wikimedia.org/wikipedia/en/thumb/1/19/A_Good_Day_to_Die_Hard.jpg/220px-A_Good_Day_to_Die_Hard.jpg,Skip Woods,NA,"Characters
by Roderick Thorp",NA
9/2/2005,A Sound of Thunder,"$80,000,000","$1,900,451","$6,300,451",4.2,"17,197",Action Adventure Horror Sci-Fi Thriller,http://www.imdb.com/title/tt0318081/,Peter Hyams,"Moshe Diamant
Howard Baldwin
Karen Baldwin",NA,"Edward Burns
Catherine McCormack
Ben Kingsley",Nick Glennie-Smith,Peter Hyams,Sylvie Landra,"Franchise Pictures
Crusader Entertainment
Baldwin Entertainment Group
Etic Films
Forge
QI Quality International[1]","Warner Bros. (US)
Bioscop (CR)","September 2, 2005 (2005-09-02) (United States)",103 minutes,"United Kingdom
United States
Germany
Czech Republic","English
Mandarin",$80 million[2],$11.7 million[2],https://en.wikipedia.org/wiki/A_Sound_of_Thunder_%28film%29,//upload.wikimedia.org/wikipedia/en/5/59/A_Sound_of_Thunder_poster.jpg,"Thomas Dean Donnelly
Joshua Oppenheimer
Gregory Poirier",NA,"A Sound of Thunder
by Ray Bradbury",NA
5/31/2013,After Earth,"$130,000,000","$60,522,097","$251,499,665",4.9,"170,096",Action Adventure Sci-Fi,http://www.imdb.com/title/tt1815862/,M. Night Shyamalan,"Caleeb Pinkett
Jada Pinkett Smith
Will Smith
James Lassiter
M. Night Shyamalan",NA,"Jaden Smith
Will Smith
Isabelle Fuhrman
Zoë Kravitz
Kristofer Hivju
Sophie Okonedo
Lincoln Lewis",James Newton Howard,Peter Suschitzky,Steven Rosenblum,"Overbrook Entertainment
Blinding Edge Pictures
Relativity Media",Columbia Pictures,"May 1, 2013 (2013-05-01) (Tokyo)
May 31, 2013 (2013-05-31) (United States)",100 minutes[1],United States,English,"$150 million (gross)[2]
$128.6 million (net)[2]",$243.8 million[3],https://en.wikipedia.org/wiki/After_Earth,//upload.wikimedia.org/wikipedia/en/thumb/5/5b/After_Earth_Poster.jpg/220px-After_Earth_Poster.jpg,"Gary Whitta
M. Night Shyamalan",Will Smith,NA,NA
7/25/1997,Air Force One,"$85,000,000","$172,956,409","$315,268,353",6.5,"156,365",Action Adventure Drama Romance Thriller,http://www.imdb.com/title/tt0118571/,Wolfgang Petersen,"Gail Katz
Jonathan Shestack
Wolfgang Petersen",Andrew W. Marlowe,"Harrison Ford
Gary Oldman
Wendy Crewson
Paul Guilfoyle
William H. Macy
Liesel Matthews
Dean Stockwell",Jerry Goldsmith,Michael Ballhaus,Richard Francis-Bruce,"Beacon Pictures
Touchstone Pictures
Radiant","Columbia Pictures (US)
Buena Vista Pictures (International)","July 21, 1997 (1997-07-21) (Century City)
July 25, 1997 (1997-07-25) (United States)",124 minutes[1],United States,"English
Russian",$85 million[1],$315.2 million[1],https://en.wikipedia.org/wiki/Air_Force_One_(film),//upload.wikimedia.org/wikipedia/en/thumb/2/2a/Air_Force_One_%28movie_poster%29.jpg/220px-Air_Force_One_%28movie_poster%29.jpg,NA,NA,NA,NA
11/24/2004,Alexander,"$155,000,000","$34,297,191","$167,297,191",5.6,"146,552",Action Adventure Biography Drama History Romance War,http://www.imdb.com/title/tt0346491/,Oliver Stone,"Thomas Schühly
Jon Kilik
Iain Smith
Moritz Borman","Oliver Stone
Christopher Kyle
Laeta Kalogridis","Colin Farrell
Angelina Jolie
Val Kilmer
Jared Leto
Rosario Dawson
Anthony Hopkins",Vangelis,Rodrigo Prieto,"Thomas J. Nordberg
Yann Hervé
Alex Marquez",NA,"Warner Bros. Pictures
Constantin Film(Germany)
Pathé(France)","16 November 2004 (2004-11-16) (Hollywood premiere)
24 November 2004 (2004-11-24) (United States)
23 December 2004 (2004-12-23) (Germany/Netherlands)
5 January 2005 (2005-01-05) (France)
14 January 2005 (2005-01-14) (Italy)",175 minutes[1],"Germany
France
Italy
Netherlands
United Kingdom
United States[2]",English,$155 million[3],$167.3 million[3],https://en.wikipedia.org/wiki/Alexander_(2004_film),//upload.wikimedia.org/wikipedia/en/thumb/a/ae/AlexanderPoster.jpg/220px-AlexanderPoster.jpg,NA,NA,NA,"Intermedia Films
Ixtlan Productions
France 3 Cinéma
Pacific Film
Egmond Film & Television
IMF Internationale Medien und Film GmbH & Co. 3 Produktions KG"
12/25/2001,Ali,"$109,000,000","$58,183,966","$87,683,966",6.8,"83,537",Biography Drama Sport,http://www.imdb.com/title/tt0248667/,Michael Mann,"Jon Peters
Michael MannJames Lassiter
Paul ArdajiA. Kitman Ho",NA,Will SmithJamie FoxxJon VoightMario Van PeeblesRon SilverJeffrey WrightMykelti WilliamsonJames Toney,Pieter BourkeLisa Gerrard,Emmanuel Lubezki,"William Goldenberg
Lynzee KlingmanStephen E. Rivkin
Stuart Waks","Initial Entertainment Group
Peters Entertainment
Forward PassOverbrook Films",Columbia Pictures(United States)Initial Entertainment Group(International),"December 25, 2001 (2001-12-25)",157 minutes,United States,English,$107 million[1],$87.7 million,https://en.wikipedia.org/wiki/Ali_(film),//upload.wikimedia.org/wikipedia/en/thumb/3/3d/Ali_movie_poster.jpg/220px-Ali_movie_poster.jpg,"Michael MannEric Roth
Stephen J. RiveleChristopher Wilkinson",Gregory Allen Howard,NA,NA
3/5/2010,Alice in Wonderland,"$200,000,000","$334,191,110","$1,025,491,110",6.5,"332,818",Adventure Family Fantasy,http://www.imdb.com/title/tt1014759/,Tim Burton,"Richard D. Zanuck
Joe Roth
Suzanne Todd
Jennifer Todd",NA,"Johnny Depp
Anne Hathaway
Helena Bonham Carter
Crispin Glover
Matt Lucas
Mia Wasikowska",Danny Elfman,Dariusz Wolski,Chris Lebenzon,"Walt Disney Pictures
Roth Films
The Zanuck Company
Team Todd","Walt Disney Studios
Motion Pictures","February 25, 2010 (2010-02-25) (London)
March 5, 2010 (2010-03-05) (United States)",109 minutes,United States[1],English,$150[2][3]–$200[4] million,$1.025 billion[5],https://en.wikipedia.org/wiki/Alice_in_Wonderland_(2010_film),//upload.wikimedia.org/wikipedia/en/thumb/f/ff/Alice-In-Wonderland-Theatrical-Poster.jpg/220px-Alice-In-Wonderland-Theatrical-Poster.jpg,Linda Woolverton,NA,"Alice's Adventures in Wonderland and Through the Looking-Glass
by Lewis Carroll",NA
5/27/2016,Alice Through the Looking Glass,"$170,000,000","$77,042,381","$277,442,381",6.2,"63,831",Adventure Family Fantasy,http://www.imdb.com/title/tt2567026/,James Bobin,"Joe Roth
Suzanne Todd
Jennifer Todd
Tim Burton",Linda Woolverton,"Johnny Depp
Anne Hathaway
Mia Wasikowska
Matt Lucas
Rhys Ifans
Helena Bonham Carter
Sacha Baron Cohen",Danny Elfman,Stuart Dryburgh,Andrew Weisblum,"Walt Disney Pictures
Roth Films
Team Todd
Tim Burton Productions","Walt Disney Studios
Motion Pictures","May 10, 2016 (2016-05-10) (London)
May 27, 2016 (2016-05-27) (United States)",113 minutes[1],United States,English,$170 million[2],$299.5 million[1],https://en.wikipedia.org/wiki/Alice_Through_the_Looking_Glass_(2016_film),//upload.wikimedia.org/wikipedia/en/thumb/1/15/Alice_Through_the_Looking_Glass_%282016_film%29_poster.png/220px-Alice_Through_the_Looking_Glass_%282016_film%29_poster.png,NA,NA,"Characters
by Lewis Carroll",NA
5/19/2017,Alien: Covenant,"$97,000,000","$74,262,031","$238,862,031",6.5,"167,851",Horror Sci-Fi Thriller,http://www.imdb.com/title/tt2316204/,Ridley Scott,"David Giler
Walter Hill
Ridley Scott
Mark Huffam
Michael Schaefer",NA,"Michael Fassbender
Katherine Waterston
Billy Crudup
Danny McBride
Demián Bichir",Jed Kurzel,Dariusz Wolski,Pietro Scalia,NA,20th Century Fox,"May 4, 2017 (2017-05-04) (Odeon Leicester Square)
May 12, 2017 (2017-05-12) (United Kingdom)
May 19, 2017 (2017-05-19) (United States)",122 minutes[1],"United Kingdom[2]
United States[2]",English,$97 million[3],$240.7 million[3],https://en.wikipedia.org/wiki/Alien:_Covenant,//upload.wikimedia.org/wikipedia/en/thumb/3/33/Alien_Covenant_Teaser_Poster.jpg/220px-Alien_Covenant_Teaser_Poster.jpg,"John Logan
Dante Harper","Jack Paglen
Michael Green","Characters
by

Dan O'Bannon
Ronald Shusett","TSG Entertainment
Scott Free Productions
Brandywine Productions"
12/16/2011,Alvin and the Chipmunks: Chipwrecked,"$80,000,000","$133,107,389","$349,088,523",4.4,"25,051",Animation Adventure Comedy Family Fantasy Music,http://www.imdb.com/title/tt1615918/,Mike Mitchell[1],Janice KarmanRoss Bagdasarian,"Jonathan Aibel
Glenn Berger",Jason LeeDavid CrossJenny SlateJustin LongMatthew Gray GublerAlan TudykJesse McCartneyAmy PoehlerAnna FarisChristina Applegate,Mark Mothersbaugh,Thomas Ackerman,Peter Amundson,Fox 2000 PicturesRegency EnterprisesBagdasarian CompanyDune Entertainment,20th Century Fox,"December 16, 2011 (2011-12-16)",87 minutes[2],United States,English,$80 million[3],$342.7 million[4],https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_Chipwrecked,//upload.wikimedia.org/wikipedia/en/thumb/c/cc/Alvin_and_the_Chipmunks_3_teaser.jpg/220px-Alvin_and_the_Chipmunks_3_teaser.jpg,NA,NA,"Alvin and the Chipmunks
by Ross BagdasarianThe Chipettes
by Janice Karman",NA
12/18/2015,Alvin and the Chipmunks: The Road Chip,"$90,000,000","$85,886,987","$249,520,430",5.1,"12,176",Animation Adventure Comedy Family Fantasy Music,http://www.imdb.com/title/tt2974918/,Walt Becker,"Janice Karman
Ross Bagdasarian, Jr.","Randi Mayem Singer
Adam Sztykiel","Jason Lee
Tony Hale
Kimberly Williams-Paisley
Josh Green
Justin Long
Matthew Gray Gubler
Jesse McCartney
Kaley Cuoco
Anna Faris
Christina Applegate",Mark Mothersbaugh,Peter Lyons Collister,Ryan Folsey,NA,20th Century Fox,"December 18, 2015 (2015-12-18)",92 minutes[1],United States,English,$90 million[2],$234.8 million[3],https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Road_Chip,//upload.wikimedia.org/wikipedia/en/thumb/4/44/AlvinChipmunksTheRoadChip_poster.jpg/220px-AlvinChipmunksTheRoadChip_poster.jpg,NA,NA,"Alvin and the Chipmunks
by Ross Bagdasarian Sr.
The Chipettes
by Janice Karman","Fox 2000 Pictures
Regency Enterprises
Bagdasarian Company
TSG Entertainment"
11/2/2007,American Gangster,"$100,000,000","$130,164,645","$267,985,456",7.8,"344,144",Biography Crime Drama Thriller,http://www.imdb.com/title/tt0765429/,Ridley Scott,"Ridley Scott
Brian Grazer",NA,"Russell Crowe
Denzel Washington
Chiwetel Ejiofor
Cuba Gooding Jr.
Josh Brolin
Ted Levine
Armand Assante
John Ortiz
John Hawkes
RZA",Marc Streitenfeld,Harris Savides,Pietro Scalia,"Imagine Entertainment
Scott Free Productions
Relativity Media",Universal Pictures,"October 19, 2007 (2007-10-19) (Apollo Theater)
November 2, 2007 (2007-11-02) (United States)",158 minutes,United States,English,$100 million[1],$266.5 million[1],https://en.wikipedia.org/wiki/American_Gangster_(film),//upload.wikimedia.org/wikipedia/en/thumb/9/9f/American_Gangster_poster.jpg/220px-American_Gangster_poster.jpg,Steven Zaillian,NA,"The Return of Superfly
by Mark Jacobson",NA
5/15/2009,Angels & Demons,"$150,000,000","$133,375,846","$490,875,846",6.7,"233,965",Mystery Thriller,http://www.imdb.com/title/tt0808151/,Ron Howard,"John Calley
Brian Grazer
Ron Howard",NA,"Tom Hanks
Ewan McGregor
Ayelet Zurer
Stellan Skarsgård
Pierfrancesco Favino
Nikolaj Lie Kaas
Armin Mueller-Stahl",Hans Zimmer,Salvatore Totino,"Daniel P. Hanley
Mike Hill",NA,Columbia Pictures,"May 4, 2009 (2009-05-04) (Rome)
May 15, 2009 (2009-05-15) (United States)",138 minutes[1] Extended: 140 Minutes,United States,English,$150 million[2],$485.9 million[3],https://en.wikipedia.org/wiki/Angels_%26_Demons_(film),//upload.wikimedia.org/wikipedia/en/thumb/4/44/Angels_and_demons.jpg/220px-Angels_and_demons.jpg,"Akiva Goldsman
David Koepp",NA,"Angels & Demons
by Dan Brown","Imagine Entertainment
Panorama Films
Skylark Productions"
7/17/2015,Ant-Man,"$130,000,000","$180,202,163","$519,338,048",7.3,"392,112",Action Adventure Comedy Sci-Fi,http://www.imdb.com/title/tt0478970/,Peyton Reed,Kevin Feige,NA,"Paul Rudd
Evangeline Lilly
Corey Stoll
Bobby Cannavale
Michael Peña
Tip ""T.I."" Harris
Anthony Mackie
Wood Harris
Judy Greer
David Dastmalchian
Michael Douglas",Christophe Beck,Russell Carpenter,"Dan Lebental
Colby Parker, Jr.",Marvel Studios,"Walt Disney Studios
Motion Pictures","June 29, 2015 (2015-06-29) (Dolby Theatre)
July 17, 2015 (2015-07-17) (United States)",117 minutes[1],United States,English,$142 million[2],$519.3 million[3],https://en.wikipedia.org/wiki/Ant-Man_(film),//upload.wikimedia.org/wikipedia/en/thumb/7/75/Ant-Man_poster.jpg/220px-Ant-Man_poster.jpg,"Edgar Wright
Joe Cornish
Adam McKay
Paul Rudd","Edgar Wright
Joe Cornish","Ant-Man
by

Stan Lee
Larry Lieber
Jack Kirby",NA
7/1/1998,Armageddon,"$140,000,000","$201,578,182","$554,600,000",6.6,"345,573",Action Adventure Sci-Fi Thriller,http://www.imdb.com/title/tt0120591/,Michael Bay,"Jerry Bruckheimer
Gale Anne Hurd
Michael Bay",NA,"Bruce Willis
Billy Bob Thornton
Liv Tyler
Ben Affleck
Will Patton
Peter Stormare
Keith David
Steve Buscemi",Trevor Rabin,John Schwartzman,"Mark Goldblatt
Chris Lebenzon
Glen Scantlebury","Touchstone Pictures
Jerry Bruckheimer Films
Valhalla Motion Pictures",Buena Vista Pictures,"July 1, 1998 (1998-07-01)",150 minutes[1],United States,English,$140 million[2],$553.7 million[2],https://en.wikipedia.org/wiki/Armageddon_(1998_film),//upload.wikimedia.org/wikipedia/en/thumb/f/fc/Armageddon-poster06.jpg/220px-Armageddon-poster06.jpg,"Jonathan Hensleigh
Tony Gilroy
Shane Salerno
J. J. Abrams","Robert Roy Pool
Jonathan Hensleigh",NA,NA
6/16/2004,Around the World in 80 Days,"$110,000,000","$24,004,159","$72,004,159",5.8,"73,851",Action Adventure Comedy Family,http://www.imdb.com/title/tt0327437/,Frank Coraci,Bill BadalatoHal Lieberman,NA,"Jackie Chan
Steve Coogan
Cécile de France
Jim Broadbent
Ian McNeice
Karen Joy Morris",Trevor JonesDavid A. Stewart,Phil Meheux,Tom Lewis,"Walt Disney PicturesWalden Media
Spanknyce Films
Mostow/Lieberman Productions",Buena Vista Pictures,"June 13, 2004 (2004-06-13) (Los Angeles, California)
June 16, 2004 (2004-06-16) (United States)",120 minutes[1],United States,"English
French
Mandarin Chinese
Hindi",$110 million[1],$75 million[1],https://en.wikipedia.org/wiki/Around_the_World_in_80_Days_%282004_film%29,//upload.wikimedia.org/wikipedia/en/thumb/6/6b/Movie_poster_Around_the_World_in_80_Days.jpg/220px-Movie_poster_Around_the_World_in_80_Days.jpg,"David Titcher
David Benullo
David Goldstein",NA,"Around the World in Eighty Days
by Jules Verne",NA
11/23/2011,Arthur Christmas,"$85,000,000","$46,462,469","$149,717,124",7.1,"39,321",Animation Adventure Comedy Family Fantasy,http://www.imdb.com/title/tt1430607/,Sarah Smith,Steve Pegram,"Peter Baynham
Sarah Smith",James McAvoyHugh LaurieBill NighyJim BroadbentImelda StauntonAshley Jensen,Harry Gregson-Williams,Jericca Cleland,"John Carnochan
James Cooper",Aardman AnimationsSony Pictures Animation,Columbia Pictures,"11 November 2011 (2011-11-11) (United Kingdom)
23 November 2011 (2011-11-23) (United States)",97 minutes[1],"United Kingdom
United States",English,$100 million[2],$147 million[3],https://en.wikipedia.org/wiki/Arthur_Christmas,//upload.wikimedia.org/wikipedia/en/thumb/e/ed/Arthur_Christmas_Poster.jpg/220px-Arthur_Christmas_Poster.jpg,NA,NA,NA,NA
1/12/2007,Arthur et les Minimoys,"$80,000,000","$15,132,763","$113,325,743",6.0,"27,814",Animation Adventure Family Fantasy,http://www.imdb.com/title/tt0344854/,Luc Besson,"Luc Besson
Emmanuel Prévost","Luc Besson
Céline Garcia","Freddie Highmore
Madonna
Jimmy Fallon
Mia Farrow
David Bowie
Ron Crawford
Robert De Niro
Jason Bateman
Snoop Dogg
Anthony Anderson",Éric Serra,Thierry Arbogast,"Karim Benhammouda
Yann Hervé
Vincent Tabaillon","EuropaCorp
Apipoulaï
Avalanche Productions
Nafia Entertainment Group","Metro-Goldwyn-Mayer
The Weinstein Company (US)
EuropaCorp (France)",13 December 2006 (2006-12-13),"94 minutes(2007 version)
104 minutes(2006 version)",France,English,"€60 million
($85 million)[1]",$107.9 million[1],https://en.wikipedia.org/wiki/Arthur_and_the_Invisibles,//upload.wikimedia.org/wikipedia/en/thumb/5/59/Arthur_and_the_Invisibles_poster.jpg/220px-Arthur_and_the_Invisibles_poster.jpg,NA,Luc Besson,"Arthur and the Minimoys and Arthur and the Forbidden City
by Luc Besson",NA
6/29/2001,Artificial Intelligence: AI,"$90,000,000","$78,616,689","$235,900,000",7.1,"257,007",Adventure Drama Sci-Fi,http://www.imdb.com/title/tt0212720/,Steven Spielberg,"Kathleen Kennedy
Steven Spielberg
Bonnie Curtis",NA,"Haley Joel Osment
Jude Law
Frances O'Connor
Brendan Gleeson
William Hurt",John Williams,Janusz Kamiński,Michael Kahn,"Amblin Entertainment
Stanley Kubrick Productions","Warner Bros. Pictures(United States)
DreamWorks Pictures(International)","June 29, 2001 (2001-06-29)",146 minutes[1],United States,English,$100 million[2],$235.9 million[2],https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence,//upload.wikimedia.org/wikipedia/en/thumb/e/e6/AI_Poster.jpg/220px-AI_Poster.jpg,Steven Spielberg,Ian Watson,"""Supertoys Last All Summer Long""
by Brian Aldiss",NA
12/21/2016,Assassin’s Creed,"$125,000,000","$54,647,948","$240,497,948",5.8,"136,952",Action Adventure Fantasy Sci-Fi,http://www.imdb.com/title/tt2094766/,Justin Kurzel,"Jean-Julien Baronnet
Gérard Guillemot
Frank Marshall
Patrick Crowley
Michael Fassbender
Conor McCaughan
Arnon Milchan",NA,"Michael Fassbender
Marion Cotillard
Jeremy Irons
Brendan Gleeson
Charlotte Rampling
Michael K. Williams",Jed Kurzel,Adam Arkapaw,Christopher Tellefsen,NA,20th Century Fox,"December 13, 2016 (2016-12-13) (New York City)
December 21, 2016 (2016-12-21) (United States)",115 minutes[1][2],United States[3],"English
Spanish[4]",$125 million[5][6],$240.7 million[6],https://en.wikipedia.org/wiki/Assassin%27s_Creed_(film),//upload.wikimedia.org/wikipedia/en/thumb/a/a0/Assassin%27s_Creed_film_poster.jpg/220px-Assassin%27s_Creed_film_poster.jpg,"Michael Lesslie
Adam Cooper
Bill Collage",NA,"Assassin's Creed
by Ubisoft","New Regency
Ubisoft Motion Pictures
DMC Film
The Kennedy/Marshall Company"
7/4/2008,Astérix aux Jeux Olympiques,"$113,500,000","$999,811","$132,999,811",5.1,"22,499",Adventure Comedy Family Fantasy,http://www.imdb.com/title/tt0463872/,"Frédéric Forestier
Thomas Langmann","Thomas Langmann
Jérôme Seydoux",NA,"Gérard Depardieu
Clovis Cornillac
Benoît Poelvoorde
Alain Delon
Vanessa Hessler
Franck Dubosc
José Garcia
Stéphane Rousseau
Jean-Pierre Cassel
Élie Semoun
Alexandre Astier",Frédéric Talgorn,Thierry Arbogast,NA,NA,Pathé,"25 January 2008 (2008-01-25) (Poland)
30 January 2008 (2008-01-30) (France)",117 minutes[1],"France
Germany
Spain
Italy
Belgium",French,$113.5 million[2],$133 million[2],https://en.wikipedia.org/wiki/Ast%C3%A9rix_at_the_Olympic_Games_(film),//upload.wikimedia.org/wikipedia/en/thumb/3/32/Asterixolympics.jpg/220px-Asterixolympics.jpg,"Alexandre Charlot
Thomas Langmann
Frank Magnier",NA,"Asterix at the Olympic Games
by René Goscinny","La Petite Reine
Pathé Renn Productions"
